Company_Name,ship_name,built_year,gt,dwt,length,width
PRELUDE,Offshore Support Vessel,2017,499167,394330,489,74
MSC LORETO,Container Ship,2023,236184,240000,399,60
MSC FEBE,Container Ship,2019,232618,228149,400,62
MSC ARINA,Container Ship,2019,228741,228111,400,61
EVER GOVERN,Container Ship,2019,219688,198937,400,59
MAASTRICHT MAERSK,Container Ship,2019,214286,190326,399,59
ONE TREASURE,Container Ship,2018,210691,189766,400,58
ORE SHENZHEN,Bulk Carrier,2018,203953,398997,362,65
SAHAM MAX,Bulk Carrier,2013,201705,400694,360,65
BARZAN,Container Ship,2015,195636,199744,400,59
MARSTAL MAERSK,Container Ship,2014,194849,213971,399,59
MSC DIANA,Container Ship,2016,194250,202036,400,59
COSTA TOSCANA,Passenger (Cruise) Ship,2021,186364,13000,337,42
MSC NEW YORK,Container Ship,2014,176490,186766,399,54
MSC MERAVIGLIA,Passenger (Cruise) Ship,2017,171598,12200,316,43
ATHERINA,Crude Oil Tanker,2011,169919,319471,340,60
AL GHUWAIRIYA,LNG Tanker,2008,168189,154940,345,55
HONG KONG SPIRIT,Crude Oil Tanker,2013,166231,318473,333,60
NEW PROSPERITY,Crude Oil Tanker,2015,165209,318607,333,60
NEW WISDOM,Crude Oil Tanker,2011,164680,317960,333,60
DAN,Crude Oil Tanker,2009,164241,319999,333,60
ATBAN,Crude Oil Tanker,1996,163882,300361,340,56
SAN RAMON VOYAGER,Crude Oil Tanker,2019,163214,318608,336,60
NISALAH,Crude Oil Tanker,2010,162863,319287,333,60
DHT OPAL,Crude Oil Tanker,2012,162557,320105,333,60
JAHAM,Crude Oil Tanker,2008,162252,319430,332,60
MARAN THETIS,Crude Oil Tanker,2012,162018,320105,333,60
GENT,Crude Oil Tanker,2005,161632,319180,333,60
SEAWAYS DIAMOND HEAD,Crude Oil Tanker,2016,161319,299989,333,60
BIG STAR,Crude Oil Tanker,2004,161175,319247,333,60
OLYMPIC LIFE,Crude Oil Tanker,2019,160874,318676,333,60
STELLAR RIO,Bulk Carrier,1994,160666,298450,332,58
AWTAD,Crude Oil Tanker,2011,160493,309988,333,60
SPLENDOR,Crude Oil Tanker,1993,160299,306474,331,58
PIONEER,Crude Oil Tanker,1999,160216,306397,334,58
BASRA,Crude Oil Tanker,2021,160087,298981,339,60
NEW PEARL,Crude Oil Tanker,2011,160043,301866,333,60
SAKE,Crude Oil Tanker,2005,159938,300390,333,60
NEW PRIME,Crude Oil Tanker,2018,159843,311003,333,60
PLATA GLORY,Crude Oil Tanker,1999,159423,300133,333,60
DHT BAUHINIA,Crude Oil Tanker,2007,159158,301019,332,58
TAKAMATSU MARU,Crude Oil Tanker,2012,158424,311087,333,60
LEXIE,Crude Oil Tanker,2001,157831,298911,332,58
MAXIM,Crude Oil Tanker,2011,157351,296887,330,60
NEW PIONEER,Crude Oil Tanker,2010,157052,297058,330,60
NEW PROSPECT,Crude Oil Tanker,2009,156921,297934,330,60
NASHA,Crude Oil Tanker,1996,156809,298732,332,58
GAZA MARINE TERMINAL,FSO,2016,156510,265869,338,51
STELLAR UNICORN,Bulk Carrier,1993,156352,279022,330,56
SEAWAYS ENTERPRISE,Crude Oil Tanker,2023,156186,300000,336,60
YIANNIS LATSIS,Crude Oil Tanker,2022,154792,299999,330,60
ALICE,Crude Oil Tanker,2016,154379,299320,333,60
SEAPASSION,Crude Oil Tanker,2017,154182,299271,333,60
BING N,Bulk Carrier,1992,154030,322941,339,55
